mode,node_id,x,y,z,ux,uy,uz,rx,ry,rz
10,21,5,0,9,-0.051500000,-0.011200000,-0.004300000,0.005600000,0.085900000,-0.073900000
10,22,5,0,10,0.010600000,-0.010900000,-0.004500000,-0.008500000,0.003700000,-0.028800000
10,23,5,5,0,0.000000000,0.000000000,0.000000000,-0.004800000,0.001100000,0.010100000
10,24,5,5,1,0.004400000,0.005700000,0.000600000,-0.005900000,0.006300000,0.038100000
10,25,5,5,2,0.011300000,0.011200000,0.001200000,-0.004300000,0.007000000,0.066100000
10,26,5,5,3,0.017600000,0.013800000,0.001800000,0.000000000,0.004900000,0.094100000
10,27,5,5,4,0.018700000,0.010500000,0.002400000,0.007900000,-0.005300000,0.122000000
10,28,5,5,5,-0.003300000,-0.002900000,0.003000000,0.020500000,-0.049400000,0.150000000
10,29,5,5,6,-0.024500000,-0.007200000,0.003400000,-0.006800000,0.001900000,0.186300000
10,30,5,5,7,-0.008700000,0.007200000,0.003700000,-0.016700000,0.025100000,0.222500000
10,31,5,5,8,0.017000000,0.022800000,0.004000000,-0.009400000,0.021600000,0.258700000
10,32,5,5,9,0.025600000,0.022400000,0.004300000,0.015400000,-0.009000000,0.295000000
10,33,5,5,10,-0.010300000,-0.011400000,0.004600000,0.057600000,-0.068000000,0.331200000
10,34,0,5,0,0.000000000,0.000000000,0.000000000,0.004200000,0.013700000,-0.007100000
10,35,0,5,1,0.006300000,0.000700000,-0.000500000,-0.003800000,0.001800000,-0.001300000
10,36,0,5,2,0.006300000,0.006500000,-0.001100000,-0.006400000,-0.001100000,0.004500000
10,37,0,5,3,0.004700000,0.012400000,-0.001600000,-0.003900000,-0.002000000,0.010300000
10,38,0,5,4,0.002200000,0.013200000,-0.002100000,0.004100000,-0.003300000,0.016000000
10,39,0,5,5,-0.002900000,0.003000000,-0.002600000,0.018700000,-0.008000000,0.021800000
10,40,0,5,6,-0.005400000,-0.008500000,-0.002700000,0.005500000,0.001900000,0.034900000
10,41,0,5,7,-0.001100000,-0.009000000,-0.002900000,-0.003100000,0.005600000,0.048000000
10,42,0,5,8,0.003700000,-0.003200000,-0.003000000,-0.007000000,0.003100000,0.061100000
10,43,0,5,9,0.002900000,0.004200000,-0.003100000,-0.006300000,-0.005700000,0.074100000
10,44,0,5,10,-0.010000000,0.008600000,-0.003200000,-0.001000000,-0.021200000,0.087200000
10,45,1,0,10,0.010500000,0.040700000,0.011100000,0.006500000,-0.003800000,0.014300000
10,46,2,0,10,0.010500000,0.044100000,0.011400000,0.002800000,0.002300000,-0.005200000
10,47,3,0,10,0.010500000,0.033200000,0.007000000,-0.001000000,0.005600000,-0.015400000
10,48,4,0,10,0.010600000,0.014400000,0.000800000,-0.004800000,0.006000000,-0.022000000
10,49,1,5,10,-0.010000000,0.012200000,-0.000300000,0.010700000,0.009300000,-0.059400000
10,50,2,5,10,-0.010100000,-0.078100000,-0.017900000,0.022400000,0.019900000,-0.106500000
10,51,3,5,10,-0.010200000,-0.174300000,-0.036100000,0.034100000,0.010800000,-0.071600000
10,52,4,5,10,-0.010200000,-0.190500000,-0.035400000,0.045800000,-0.018300000,0.058300000
10,53,0,1,10,-0.013000000,0.008800000,0.009200000,0.002600000,-0.014700000,-0.003700000
10,54,0,2,10,0.008100000,0.008800000,0.008900000,-0.002500000,-0.016300000,-0.032300000
