mode,node_id,x,y,z,ux,uy,uz,rx,ry,rz
8,48,4,0,10,-0.001100000,0.024700000,0.004200000,-0.007100000,0.000000000,0.003100000
8,49,1,5,10,0.001200000,0.038000000,0.001600000,0.003200000,0.000200000,0.001800000
8,50,2,5,10,0.001200000,0.019100000,0.000200000,0.005400000,0.001900000,-0.032700000
8,51,3,5,10,0.001200000,-0.016500000,-0.001900000,0.007600000,0.001700000,-0.033000000
8,52,4,5,10,0.001200000,-0.036000000,-0.002800000,0.009900000,-0.000500000,0.000600000
8,53,0,1,10,0.407200000,-0.001200000,-0.001900000,-0.001000000,0.008500000,-0.638500000
8,54,0,2,10,0.992300000,-0.001200000,-0.002300000,0.000000000,0.005500000,-0.381000000
8,55,0,3,10,1.000000000,-0.001200000,-0.001900000,0.000800000,0.002500000,0.367600000
8,56,0,4,10,0.420500000,-0.001200000,-0.000900000,0.001100000,-0.000500000,0.642100000
8,57,5,1,10,0.356300000,0.001300000,-0.007400000,-0.006600000,0.006600000,-0.564800000
8,58,5,2,10,0.877600000,0.001300000,-0.012600000,-0.003300000,0.003800000,-0.343500000
8,59,5,3,10,0.890700000,0.001400000,-0.013700000,0.001300000,0.001000000,0.320700000
8,60,5,4,10,0.378600000,0.001400000,-0.009900000,0.006600000,-0.001900000,0.571600000
8,61,0,1,5,0.002400000,-0.000700000,0.002700000,0.001800000,-0.007000000,-0.006600000
8,62,0,2,5,0.010600000,-0.000700000,0.003500000,0.000000000,-0.006000000,-0.008600000
8,63,0,3,5,0.017500000,-0.000700000,0.002900000,-0.001100000,-0.005000000,-0.003800000
8,64,0,4,5,0.016200000,-0.000700000,0.001500000,-0.001400000,-0.003900000,0.007500000
8,65,5,1,5,-0.010400000,0.000500000,0.004600000,0.002600000,-0.008200000,0.002200000
8,66,5,2,5,-0.007300000,0.000500000,0.005600000,-0.000200000,-0.006500000,-0.007000000
8,67,5,3,5,0.001000000,0.000600000,0.004400000,-0.001900000,-0.004900000,-0.008100000
8,68,5,4,5,0.006200000,0.000700000,0.002000000,-0.002500000,-0.003200000,-0.001000000
8,69,2,0,5,-0.000400000,-0.003400000,0.000900000,0.005200000,0.003200000,-0.002400000
8,70,3,0,5,-0.000400000,-0.005700000,-0.002700000,0.005600000,0.003000000,-0.002000000
8,71,4,0,5,-0.000400000,-0.006800000,-0.004300000,0.006100000,-0.001000000,0.000900000
8,72,1,0,5,-0.000400000,-0.001200000,0.003000000,0.004800000,-0.000100000,-0.001800000
8,73,2,5,5,0.000500000,0.021500000,0.001400000,-0.001300000,0.000900000,-0.007000000
8,74,3,5,5,0.000500000,0.008700000,0.000200000,-0.001500000,0.001200000,-0.015500000
8,75,4,5,5,0.000500000,-0.003300000,-0.000800000,-0.001700000,0.000400000,-0.005600000
8,76,1,5,5,0.000500000,0.019100000,0.001800000,-0.001100000,-0.000500000,0.012200000
8,77,5,1,1,0.003800000,0.001500000,-0.001400000,0.003300000,0.000600000,0.007700000
8,78,5,2,2,-0.006100000,-0.003800000,0.003900000,0.004300000,0.002000000,0.007300000
8,79,5,3,3,0.000100000,-0.004300000,0.004600000,-0.002900000,0.012500000,-0.002300000
8,80,5,4,4,0.011100000,-0.000700000,0.001100000,-0.002600000,0.005800000,0.005400000
8,81,0,4,4,0.022200000,-0.005300000,0.005000000,-0.010700000,0.005900000,0.009700000
8,82,0,1,1,0.014400000,-0.011100000,0.011000000,0.015000000,-0.006400000,0.002900000
8,83,0,2,2,-0.002800000,-0.024300000,0.024100000,0.006100000,-0.004100000,0.007000000
8,84,0,3,3,0.006300000,-0.019700000,0.019500000,-0.013500000,0.016300000,-0.007100000
8,85,5,1,4,-0.003600000,0.003800000,0.003700000,0.001200000,-0.011700000,0.012000000
8,86,5,2,3,-0.002500000,0.003900000,0.003800000,-0.000700000,-0.010000000,0.008700000
8,87,5,3,2,-0.000800000,0.002700000,0.002700000,-0.001500000,-0.007500000,0.006200000
8,88,5,4,1,0.000500000,0.001200000,0.001200000,-0.001600000,-0.004500000,0.004100000
8,89,0,1,4,0.003300000,0.002000000,0.002400000,0.001300000,-0.006100000,0.003900000
8,90,0,2,3,0.004700000,0.002400000,0.002600000,-0.000400000,-0.005300000,0.004600000
8,91,0,3,2,0.005000000,0.001500000,0.001700000,-0.001200000,-0.004800000,0.005000000
8,92,0,4,1,0.004200000,0.000300000,0.000400000,-0.001100000,-0.003900000,0.005700000
8,93,0,1,9,0.035700000,-0.001400000,-0.000500000,0.001500000,0.020700000,-0.041300000
8,94,0,2,8,0.043400000,0.000000000,0.000900000,0.001700000,0.019600000,-0.019900000
8,95,0,3,7,0.036300000,0.000800000,0.001700000,0.000600000,0.013700000,-0.003400000
8,96,0,4,6,0.021200000,0.000500000,0.001400000,-0.000500000,0.005700000,0.011000000
8,97,5,1,9,0.027200000,-0.002800000,-0.003900000,-0.000600000,0.018000000,-0.032900000
8,98,5,2,8,0.032000000,-0.002000000,-0.003100000,0.002100000,0.017700000,-0.016600000
8,99,5,3,7,0.025500000,0.000000000,-0.001100000,0.002200000,0.013200000,-0.004600000
8,100,5,4,6,0.013900000,0.001400000,0.000300000,0.000800000,0.006500000,0.005300000
8,101,5,4,9,0.064000000,0.009800000,-0.008900000,-0.004200000,0.030300000,0.036500000
8,102,5,3,8,0.001400000,-0.009800000,0.010600000,-0.029700000,0.080400000,-0.028000000
8,103,5,2,7,-0.092600000,-0.032700000,0.033400000,-0.007900000,0.041100000,-0.003100000
8,104,5,1,6,-0.069400000,-0.021000000,0.021700000,0.025200000,-0.026400000,0.049900000
